,LoanTenure,LoanStatus,BorrowerAPR,BorrowerRate,LenderYield,EstimatedEffectiveYield,EstimatedLoss,EstimatedReturn,ProsperRating (numeric),ProsperRating (Alpha),ProsperScore,ListingCategory (numeric),BorrowerState,Occupation,EmploymentStatus,EmploymentStatusDuration,IsBorrowerHomeowner,CurrentlyInGroup,DateCreditPulled,CreditScoreRangeLower,CreditScoreRangeUpper,FirstRecordedCreditLine,CurrentCreditLines,OpenCreditLines,TotalCreditLinespast7years,OpenRevolvingAccounts,OpenRevolvingMonthlyPayment,InquiriesLast6Months,TotalInquiries,CurrentDelinquencies,AmountDelinquent,DelinquenciesLast7Years,PublicRecordsLast10Years,PublicRecordsLast12Months,RevolvingCreditBalance,BankcardUtilization,AvailableBankcardCredit,TotalTrades,TradesNeverDelinquent (percentage),TradesOpenedLast6Months,DebtToIncomeRatio,IncomeRange,IncomeVerifiable,StatedMonthlyIncome,TotalProsperLoans,TotalProsperPaymentsBilled,OnTimeProsperPayments,ProsperPaymentsLessThanOneMonthLate,ProsperPaymentsOneMonthPlusLate,ProsperPrincipalBorrowed,ProsperPrincipalOutstanding,ScorexChangeAtTimeOfListing,LoanCurrentDaysDelinquent,LoanFirstDefaultedCycleNumber,LoanMonthsSinceOrigination,LoanNumber,LoanOriginalAmount,LoanOriginationQuarter,MonthlyLoanPayment,LP_CustomerPayments,LP_CustomerPrincipalPayments,LP_InterestandFees,LP_ServiceFees,LP_CollectionFees,LP_GrossPrincipalLoss,LP_NetPrincipalLoss,LP_NonPrincipalRecoverypayments,PercentFunded,Recommendations,InvestmentFromFriendsCount,InvestmentFromFriendsAmount,Investors,EMI,ELA,InterestAmount,TotalAmount,ROI,PROI
0,36,0,0.16516,0.158,0.138,0.1615,0.0724,0.0917,4.07224258423391,3,5.950066585742402,0,5,35,7,2.0,1,1,846,640.0,659.0,4232,5.0,4.0,12.0,1,24.0,3.0,3.0,2.0,472.0,4.0,0.0,0.0,0.0,0.0,1500.0,11.0,0.81,0.0,0.17,3,1,3083.333333,1.0,16.0,15.0,0.0,0.0,6000.0,1626.55,-3.0,0,14.0,78,19141,9425,17,330.43,11396.14,9425.0,1971.14,-133.18,0.0,0.0,0.0,0.0,1.0,0,0,0.0,258,1496.7645695216506,63034.0,1489.15,10914.15,0.13644214162348878,0.1554054054054054
1,36,0,0.12016,0.092,0.082,0.0796,0.0249,0.0547,6.0,0,7.0,2,5,41,0,44.0,0,0,368,680.0,699.0,6672,14.0,14.0,29.0,13,389.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,3989.0,0.21,10266.0,29.0,1.0,2.0,0.18,4,1,6125.0,1.0,16.0,15.0,0.0,0.0,6000.0,1626.55,-3.0,0,14.0,0,134815,10000,7,318.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,1,0.0,43120.0,920.0,10920.0,0.08424908424908426,0.20540540540540542
2,36,0,0.28269,0.275,0.24,0.1615,0.0724,0.0917,4.07224258423391,6,5.950066585742402,0,10,35,2,67.0,0,1,32,480.0,499.0,10091,10.0,9.0,3.0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8549.0,0.6,4100.0,22.0,0.94,0.0,0.06,6,1,2083.333333,1.0,16.0,15.0,0.0,0.0,6000.0,1626.55,-3.0,0,14.0,86,6466,3001,1,123.32,4186.63,3001.0,1185.63,-24.2,0.0,0.0,0.0,0.0,1.0,0,0,0.0,41,825.4063110074701,32711.0,825.2750000000001,3826.275,0.21568627450980393,0.055405405405405395
3,36,0,0.12528,0.0974,0.0874,0.0849,0.0249,0.06,6.0,0,9.0,16,10,50,0,113.0,1,0,368,800.0,819.0,10291,5.0,5.0,29.0,7,115.0,0.0,1.0,4.0,10056.0,14.0,0.0,0.0,1444.0,0.04,30754.0,26.0,0.76,0.0,0.15,3,1,2875.0,1.0,16.0,15.0,0.0,0.0,6000.0,1626.55,-3.0,0,14.0,16,77296,10000,31,321.45,5143.2,4091.09,1052.11,-108.01,0.0,0.0,0.0,0.0,1.0,0,0,0.0,158,413.02119216676704,45064.0,974.0,10974.0,0.08875523965737198,0.1054054054054054
4,36,0,0.24614,0.2085,0.1985,0.18316,0.0925,0.09066,3.0,4,4.0,2,23,19,0,44.0,1,0,368,680.0,699.0,7393,19.0,19.0,49.0,6,220.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,6193.0,0.81,695.0,39.0,0.95,2.0,0.26,2,1,9583.333333,1.0,11.0,11.0,0.0,0.0,11000.0,9947.9,-3.0,0,14.0,6,102670,15000,23,563.97,2819.85,1563.22,1256.63,-60.27,0.0,0.0,0.0,0.0,1.0,0,0,0.0,20,326.2884142821787,127590.0,3127.5,18127.5,0.1725279271824576,0.20540540540540542
5,60,0,0.15425,0.1314,0.1214,0.11567,0.0449,0.07077,5.0,2,10.0,1,32,41,0,82.0,1,0,368,740.0,759.0,115,21.0,17.0,49.0,13,1410.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,62999.0,0.39,86509.0,47.0,1.0,0.0,0.36,2,1,8333.333333,1.0,16.0,15.0,0.0,0.0,6000.0,1626.55,-3.0,0,14.0,3,123257,15000,32,342.37,679.34,351.89,327.45,-25.33,0.0,0.0,0.0,0.0,1.0,0,0,0.0,1,46.26641942667417,133260.0,1970.9999999999998,16971.0,0.11613929644687995,0.2554054054054054
6,36,0,0.31032,0.2712,0.2612,0.2382,0.1275,0.1107,2.0,5,2.0,1,16,48,0,172.0,0,0,368,680.0,699.0,10880,10.0,7.0,20.0,6,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5812.0,0.72,1929.0,16.0,0.68,0.0,0.27,3,1,2083.333333,1.0,16.0,15.0,0.0,0.0,6000.0,1626.55,-3.0,0,14.0,11,88353,3000,15,122.67,1226.7,604.25,622.45,-22.95,0.0,0.0,0.0,0.0,1.0,0,0,0.0,1,163.90163243403333,32290.0,813.6,3813.6,0.21334172435494023,0.20540540540540542
7,36,0,0.23939,0.2019,0.1919,0.1783,0.0799,0.0984,4.0,3,4.0,2,4,27,0,103.0,0,0,368,700.0,719.0,9222,6.0,6.0,10.0,5,101.0,3.0,16.0,0.0,0.0,0.0,1.0,0.0,1260.0,0.13,2181.0,10.0,0.8,0.0,0.24,3,1,3355.75,1.0,16.0,15.0,0.0,0.0,6000.0,1626.55,-3.0,0,14.0,10,90051,10000,15,372.6,3353.4,1955.89,1397.51,-69.21,0.0,0.0,0.0,0.0,1.0,0,0,0.0,1,395.42117794816613,82684.0,2019.0,12019.0,0.16798402529328563,0.2554054054054054
8,36,0,0.0762,0.0629,0.0529,0.05221,0.0099,0.04231,7.0,1,9.0,7,14,22,0,269.0,1,0,368,820.0,839.0,188,17.0,16.0,32.0,12,219.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,9906.0,0.11,77696.0,29.0,1.0,1.0,0.25,3,1,3333.333333,1.0,16.0,15.0,0.0,0.0,6000.0,1626.55,-3.0,0,14.0,3,121268,10000,32,305.54,611.08,505.58,105.5,-16.77,0.0,0.0,0.0,0.0,1.0,0,0,0.0,1,35.78142055853416,32644.0,629.0,10629.0,0.059177721328441055,0.20540540540540542
9,36,0,0.0762,0.0629,0.0529,0.05221,0.0099,0.04231,7.0,1,11.0,7,14,22,0,269.0,1,0,368,820.0,839.0,188,17.0,16.0,32.0,12,219.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,9906.0,0.11,77696.0,29.0,1.0,1.0,0.25,3,1,3333.333333,1.0,16.0,15.0,0.0,0.0,6000.0,1626.55,-3.0,0,14.0,3,121268,10000,32,305.54,611.08,505.58,105.5,-16.77,0.0,0.0,0.0,0.0,1.0,0,0,0.0,1,35.78142055853416,32644.0,629.0,10629.0,0.059177721328441055,0.20540540540540542
